/******************************************************************************
	Name=etcparts_b.txt
	Xsize=64  Ysize=64  Plane=1
	BitPrePix=4
	Color16Index=0
******************************************************************************/
unsigned short etcparts_b_lut[] = {
0x543e, 0x0000, 0xdf3b, 0xe0cb, 0xbe31, 0xbe11, 0x94a7, 0x7bdf, 0x6b9d, 0x6319, 0x5297, 0x4a53, 0x39d1, 0x318f, 0x214b, 0x18c9, 
};
unsigned char etcparts_b_tex[] = {
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0xff, 0xff, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x22, 0x22, 0x22, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x00, 0x00, 0x02, 0x24, 0xf4, 0x22, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x00, 0x02, 0x22, 0x22, 0xff, 0x42, 0x22, 0x20, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x00, 0x02, 0x46, 0x22, 0x2c, 0xe4, 0x22, 0x22, 0x22, 0x20, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x00, 0x22, 0x6f, 0x66, 0x7f, 0xe7, 0x66, 0x42, 0x22, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x22, 0xef, 0xff, 0xfb, 0x28, 0xff, 0xd6, 0x77, 0x76, 0x20, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x26, 0xf8, 0xee, 0xb2, 0x4f, 0xff, 0xfc, 0xaa, 0xdf, 0x62, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x2f, 0xa2, 0xff, 0x76, 0xf8, 0xee, 0xf6, 0x64, 0x2d, 0x72, 0x20, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x9f, 0x26, 0xff, 0xff, 0xfe, 0xff, 0xff, 0xef, 0x6b, 0x72, 0x20, 0x00, 0x0f, 0xf0, 0x0f, 0x22, 0x2f, 0x00, 0xff, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0xfb, 0x2e, 0x6b, 0xff, 0xff, 0xff, 0x98, 0xef, 0xff, 0x62, 0x22, 0x00, 0x0f, 0x2f, 0x0f, 0x22, 0x2f, 0x0f, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x7f, 0x4e, 0x6d, 0xff, 0xfd, 0xff, 0xff, 0xeb, 0xcf, 0xf7, 0x22, 0x00, 0x00, 0xf2, 0xff, 0x22, 0x2f, 0xf2, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x30, 
0x00, 0x02, 0x2f, 0x6d, 0xff, 0xff, 0xf4, 0xd9, 0xff, 0xec, 0x8f, 0xff, 0x22, 0x00, 0x00, 0xf2, 0x2f, 0x22, 0x2f, 0x22, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x33, 
0x00, 0x02, 0x2e, 0xce, 0xf6, 0xff, 0xff, 0xff, 0xfd, 0x6b, 0xff, 0x9e, 0x22, 0x00, 0x00, 0x0f, 0x22, 0x22, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x33, 0x33, 0x33, 
0x00, 0x02, 0x26, 0xff, 0xef, 0xfb, 0x46, 0xff, 0xfb, 0x22, 0xff, 0x9e, 0x22, 0x00, 0x00, 0x0f, 0x22, 0x22, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x33, 0x33, 0x33, 
0x00, 0x02, 0x22, 0x6f, 0xcf, 0xfa, 0xab, 0xff, 0xfc, 0x26, 0xff, 0x9e, 0x22, 0x00, 0x00, 0x00, 0xf2, 0x22, 0x22, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x33, 0x33, 0x33, 
0x00, 0x00, 0x22, 0xef, 0xf6, 0xbf, 0xbb, 0xff, 0xff, 0xff, 0xee, 0xde, 0x22, 0x00, 0x00, 0x00, 0xf2, 0x22, 0x22, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x33, 0x33, 0x33, 
0x00, 0x00, 0x22, 0xeb, 0xf9, 0x2a, 0xee, 0xff, 0xff, 0xf6, 0x22, 0xf7, 0x22, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x33, 0x33, 0x33, 
0x00, 0x00, 0x22, 0xf4, 0x4f, 0xfa, 0xff, 0x28, 0xff, 0x22, 0x2f, 0xf4, 0x22, 0x00, 0x00, 0x00, 0x0f, 0x22, 0x2f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x02, 0xaf, 0x22, 0x67, 0x8f, 0x22, 0x9f, 0xc9, 0xff, 0x42, 0x20, 0x00, 0x00, 0x00, 0x00, 0xf2, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x02, 0x4f, 0xf6, 0x22, 0x4f, 0x22, 0x26, 0x88, 0x84, 0x22, 0x20, 0x00, 0x00, 0x00, 0x00, 0xf2, 0xf0, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x22, 0x8f, 0xff, 0xff, 0x22, 0x22, 0x22, 0x22, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x22, 0x22, 0x22, 0x22, 0x22, 0x22, 0x22, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0f, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x55, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x55, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x30, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x55, 0x55, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x05, 0x55, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x30, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x05, 0x55, 0x50, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x55, 0x55, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x03, 0x33, 0x33, 0x30, 0x00, 0x00, 
